building_id,total_price
X5gsdTWGS3W7JJQB,8684760
BTshNOJyKHnT2YIT,4320723
dhdymr0lV8N5kZOT,8969668
VEwyGGMcD56w5BOc,5021977
wmUeMoJZfsqaSX9b,745417
EtBjGAHmHCe9t7TZ,4044740
hPNH34vmaZtvBtqc,12441489
wXjeI38bYDMJJwZC,7267699
fxZSGX6aPAFKU8W4,1656873
ewr0Fx6ign87OwaV,3623451
gHKurnEP4AowzsLg,1109764
PmLfTgY2FElLrTl0,5683647
eM2NppIOwzW0o8iy,11812256
dxxwNun97NH4WTrZ,3040072
jykBfhh3vdeFUi3H,3622384
NlXbvdFfmJZf3L18,22518760
D7jaFWHCzSqLBwdt,1027046
L10dBBdqGmemweSl,4975284
OgB0AdiPKlElakKN,1188723
StiWNN1GQrpPBOYt,2537193
a016eMAVQKnfwMnt,20636554
gsCFcQHnOH3AKMcZ,3426254
IbNsDXfsPwSuFpow,5606690
EgAVWOVxD1Jy5YkE,1635280
BrKghvR76XdbQPnx,6589006
a7fxkXTnUGWHUmKG,16741172
WgzXa170DfpzpURE,8474050
JPWqZbLq0VNC0yKI,10476522
JQgTtbVstqFZwEK1,510228
bCSDbEthlS3nSIor,2348345
Eg8c7ZRbL0gyAEAb,1848675
zsFOujpX1WUIkeMD,2856351
jEvQfHD89c14eFJj,8705361
bU45TrRjtoRJpiOl,7787196
YLKpsew5dW75vksT,5089668
hZ1FFAGWfwM7Q5qr,2068353
uAE5aaysJhyG8lRW,13807349
qxNpqoav46ab8aX0,13806589
tw5gw9arRECzmh5o,9765065
yn4pyBYVb1GcpQ1T,3703457
bE4xwsO642wMGDiH,450718431
aahqDoaTCZYPUnYs,2472449
YV43AlJLyiYsBy7N,9354853
XUoZvwp3G5Uqr6es,5994368
xtfOOyS24DmebcrG,11854627
kHySzvJu1pAOGGr8,7683014
SJLj6Ars5P1fN8uS,16995577
R9A8BJ65VWVztrwJ,24432876
CVz3pN9nF05lPP5u,2314943
vvgK6NlGq4dXvuOQ,3181776
C1h2FivTfEeJpv15,38181681
N2z4leXPR8YG1qOe,1910591
sag3ekvoyZCZgkfV,5045760
Uk5ex47eeWALNICk,4357837
vAl9UtIB6CJkKDqG,9614102
hnYkYGw5QAKE4mKe,521126
dGDaCQGvz1JFUpFs,4626668
O5Hw3gWy8trecv9H,25924776
tMEj7u0YNW1xuLxf,1085225
rcPOpyDivowJQm5A,2320842
FB5zv79bd6nHV1It,1156079
SjqLJfNVstz2Vt0Z,6178351
uv27X0eFKdbSphM7,12420854
yVbxVL3euuIqmo7V,6847959
VvwRRzQcDprObjXd,17016688
j1eSrtTGv0lNjzBU,25862378
UboKsiWuyCQXXIsA,3864998
R3LK3b1cYHJDoS7T,1071266
