building_id,total_price
X5gsdTWGS3W7JJQB,22354
BTshNOJyKHnT2YIT,62938720
dhdymr0lV8N5kZOT,2147483648
VEwyGGMcD56w5BOc,1874048
wmUeMoJZfsqaSX9b,1117202
EtBjGAHmHCe9t7TZ,2737062
hPNH34vmaZtvBtqc,1566734
wXjeI38bYDMJJwZC,52241
fxZSGX6aPAFKU8W4,72034
ewr0Fx6ign87OwaV,3318701
gHKurnEP4AowzsLg,170730
PmLfTgY2FElLrTl0,7467406
eM2NppIOwzW0o8iy,1209847
dxxwNun97NH4WTrZ,368261
jykBfhh3vdeFUi3H,2147483648
NlXbvdFfmJZf3L18,3448586
D7jaFWHCzSqLBwdt,327791
L10dBBdqGmemweSl,146922
OgB0AdiPKlElakKN,1091755
StiWNN1GQrpPBOYt,601692
a016eMAVQKnfwMnt,155320304
gsCFcQHnOH3AKMcZ,10771242
IbNsDXfsPwSuFpow,620129
EgAVWOVxD1Jy5YkE,6238299
BrKghvR76XdbQPnx,1515147520
a7fxkXTnUGWHUmKG,8028245
WgzXa170DfpzpURE,6513982
JPWqZbLq0VNC0yKI,16419673
JQgTtbVstqFZwEK1,25269790
bCSDbEthlS3nSIor,3189421
Eg8c7ZRbL0gyAEAb,15175986
zsFOujpX1WUIkeMD,1552739
jEvQfHD89c14eFJj,2147483648
bU45TrRjtoRJpiOl,4678691
YLKpsew5dW75vksT,4668635
hZ1FFAGWfwM7Q5qr,349627
uAE5aaysJhyG8lRW,24689878
qxNpqoav46ab8aX0,17087572
tw5gw9arRECzmh5o,2147483648
yn4pyBYVb1GcpQ1T,1114478
bE4xwsO642wMGDiH,362654
aahqDoaTCZYPUnYs,3321639
YV43AlJLyiYsBy7N,23477068
XUoZvwp3G5Uqr6es,2049339
xtfOOyS24DmebcrG,2147483648
kHySzvJu1pAOGGr8,18608766
SJLj6Ars5P1fN8uS,487774336
R9A8BJ65VWVztrwJ,85476824
CVz3pN9nF05lPP5u,123562
vvgK6NlGq4dXvuOQ,16418169
C1h2FivTfEeJpv15,655461376
N2z4leXPR8YG1qOe,14474841
sag3ekvoyZCZgkfV,2357839
Uk5ex47eeWALNICk,2320753
