building_id,total_price
X5gsdTWGS3W7JJQB,12406423
BTshNOJyKHnT2YIT,2888704
dhdymr0lV8N5kZOT,9207966
VEwyGGMcD56w5BOc,5353653
wmUeMoJZfsqaSX9b,968635
EtBjGAHmHCe9t7TZ,2698442
hPNH34vmaZtvBtqc,11690177
wXjeI38bYDMJJwZC,5831288
fxZSGX6aPAFKU8W4,1832980
ewr0Fx6ign87OwaV,3380966
gHKurnEP4AowzsLg,795344
PmLfTgY2FElLrTl0,5971925
eM2NppIOwzW0o8iy,10689907
dxxwNun97NH4WTrZ,2768336
jykBfhh3vdeFUi3H,4974056
NlXbvdFfmJZf3L18,25725566
D7jaFWHCzSqLBwdt,1041650
L10dBBdqGmemweSl,5953427
OgB0AdiPKlElakKN,1139316
StiWNN1GQrpPBOYt,2813894
a016eMAVQKnfwMnt,23263244
gsCFcQHnOH3AKMcZ,3393619
IbNsDXfsPwSuFpow,5316892
EgAVWOVxD1Jy5YkE,1523609
BrKghvR76XdbQPnx,7530066
a7fxkXTnUGWHUmKG,32443340
WgzXa170DfpzpURE,8940955
JPWqZbLq0VNC0yKI,11779640
JQgTtbVstqFZwEK1,591812
bCSDbEthlS3nSIor,2276641
Eg8c7ZRbL0gyAEAb,1852382
zsFOujpX1WUIkeMD,2262306
jEvQfHD89c14eFJj,8571063
bU45TrRjtoRJpiOl,8847693
YLKpsew5dW75vksT,5756090
hZ1FFAGWfwM7Q5qr,2085647
uAE5aaysJhyG8lRW,12871366
qxNpqoav46ab8aX0,15917589
tw5gw9arRECzmh5o,12559516
yn4pyBYVb1GcpQ1T,3566335
bE4xwsO642wMGDiH,352296288
aahqDoaTCZYPUnYs,2221694
YV43AlJLyiYsBy7N,11234659
XUoZvwp3G5Uqr6es,4418118
xtfOOyS24DmebcrG,12612184
kHySzvJu1pAOGGr8,7158537
SJLj6Ars5P1fN8uS,16311296
R9A8BJ65VWVztrwJ,21660538
CVz3pN9nF05lPP5u,2325998
vvgK6NlGq4dXvuOQ,3300634
C1h2FivTfEeJpv15,42468528
N2z4leXPR8YG1qOe,1715083
sag3ekvoyZCZgkfV,4101235
Uk5ex47eeWALNICk,3687211
vAl9UtIB6CJkKDqG,8970643
hnYkYGw5QAKE4mKe,594862
dGDaCQGvz1JFUpFs,4653850
O5Hw3gWy8trecv9H,21378398
tMEj7u0YNW1xuLxf,456918
rcPOpyDivowJQm5A,2546976
FB5zv79bd6nHV1It,2203345
SjqLJfNVstz2Vt0Z,7532077
uv27X0eFKdbSphM7,13244357
yVbxVL3euuIqmo7V,5080851
VvwRRzQcDprObjXd,17031312
j1eSrtTGv0lNjzBU,28232998
UboKsiWuyCQXXIsA,2909892
R3LK3b1cYHJDoS7T,1083975
ii5gSN8z6AOorjQs,7571305
iFtImxGUUlXbkD9b,10992278
W4cY4JyAXjYXY1tF,21040614
HM9qAA76VLEkoqyU,14260435
fX3cUCjz6wSjn6N5,1842527
U7whXhR0NtRb2VTK,5012729
VP1NDCBMrjip2Bnd,8571121
SOZVhFbbbVloA5qP,889759
pJS9qvsg4qskb1P9,33271424
Rfg7BpDZLZd445AX,1279806
olfnSSZRvyQuIxaI,33535446
x61xqhi8kwd9xmmN,3641298
ejGoSLE9isKffLmw,11106377
Vx7bSFwMnNMCx9oB,3403449
S9TXbscnO5DoawSU,2547112
WdVARdRcN8x7AK1d,5768218
pStv2kkxELhBBK2G,13317615
LPJuTqqcd2bQpaQk,13004647
CjKHQBAnor8AP2eB,4899000
PIo9FQYkpDvE32Cw,11035259
Q8dFQs5lhVAiEJTE,13525067
GVWNfdARZFl4J5Wx,2983697
yfvg6l0mtujabRT0,17538828
PVAuCtLbP23qr2zL,3936532
iwJrgniIhfPTCTmt,4883965
tvGpSGlGKclWmFYm,7482290
Ak8AvJmjEw3jSzPD,3509735
z2CovcitJJmVZFvU,18530456
XCs3JK6zTfApKRQq,9236550
ycrEEXCVOZ2VFtDj,2939067
MheS1bq7OcDGJ05M,931578
pAlE5srDfK8zDu8o,25545046
ObAaFE67g31BlRpo,4162202
uX03fWvPUQI1k24X,14476166
qYtmXmJZcCxsYR16,4157093
xOpEoO94sMg0pmgK,2911080
WOqQh2t52P3sHypx,4916172
zSOQn8ONXwfK1YMz,1660276
wErmbQpjJ0KXYt3g,692661
PZkZQcO1joCaJu4m,4121950
qQsKdbjFMUCiKncB,29327004
VGsTcb8wMZWT5UjC,2961901
kzk36KgPb6OHgRGQ,33506994
wv16qReSoCwACjGq,54360360
CqnauNV66YHe1gks,4404206
oEXDouE9eVB5K8T0,3309560
lQtwWVt7IM3E2gLv,18210558
C1tDWNNe6GWNzjxF,13816627
hPQk6g6q96fEA6qf,4452142
z8DrddTDmE9edR3g,2738872
HUJHDhbsEKjDU375,1687231
HCvpwrAaIz1gj9vB,6713526
