building_id,total_price
X5gsdTWGS3W7JJQB,10160206
BTshNOJyKHnT2YIT,3265620
dhdymr0lV8N5kZOT,9064501
VEwyGGMcD56w5BOc,4983467
wmUeMoJZfsqaSX9b,981266
EtBjGAHmHCe9t7TZ,2294094
hPNH34vmaZtvBtqc,14629915
wXjeI38bYDMJJwZC,7524029
fxZSGX6aPAFKU8W4,1309935
ewr0Fx6ign87OwaV,4144872
gHKurnEP4AowzsLg,624193
PmLfTgY2FElLrTl0,6509505
eM2NppIOwzW0o8iy,10449248
dxxwNun97NH4WTrZ,3062025
jykBfhh3vdeFUi3H,6808604
NlXbvdFfmJZf3L18,26305258
D7jaFWHCzSqLBwdt,1067681
L10dBBdqGmemweSl,6506873
OgB0AdiPKlElakKN,1189071
StiWNN1GQrpPBOYt,2743714
a016eMAVQKnfwMnt,16342686
gsCFcQHnOH3AKMcZ,4076217
IbNsDXfsPwSuFpow,6432010
EgAVWOVxD1Jy5YkE,1100856
BrKghvR76XdbQPnx,6787029
a7fxkXTnUGWHUmKG,15605696
WgzXa170DfpzpURE,8767386
JPWqZbLq0VNC0yKI,10001332
JQgTtbVstqFZwEK1,609575
bCSDbEthlS3nSIor,1804093
Eg8c7ZRbL0gyAEAb,2277214
zsFOujpX1WUIkeMD,2386596
jEvQfHD89c14eFJj,7665800
bU45TrRjtoRJpiOl,10085754
YLKpsew5dW75vksT,5375068
hZ1FFAGWfwM7Q5qr,2351567
uAE5aaysJhyG8lRW,12604873
qxNpqoav46ab8aX0,17084248
tw5gw9arRECzmh5o,9703649
yn4pyBYVb1GcpQ1T,3601643
bE4xwsO642wMGDiH,188066672
aahqDoaTCZYPUnYs,2098824
YV43AlJLyiYsBy7N,9686637
XUoZvwp3G5Uqr6es,5104625
xtfOOyS24DmebcrG,13936311
kHySzvJu1pAOGGr8,8264317
SJLj6Ars5P1fN8uS,21267450
R9A8BJ65VWVztrwJ,54867864
CVz3pN9nF05lPP5u,2141449
vvgK6NlGq4dXvuOQ,4075502
C1h2FivTfEeJpv15,47317192
N2z4leXPR8YG1qOe,1827003
sag3ekvoyZCZgkfV,5720574
Uk5ex47eeWALNICk,4068341
vAl9UtIB6CJkKDqG,13191615
hnYkYGw5QAKE4mKe,524892
dGDaCQGvz1JFUpFs,4582813
O5Hw3gWy8trecv9H,25993488
tMEj7u0YNW1xuLxf,566665
rcPOpyDivowJQm5A,2584569
FB5zv79bd6nHV1It,1547401
SjqLJfNVstz2Vt0Z,6538947
uv27X0eFKdbSphM7,13122403
yVbxVL3euuIqmo7V,5805220
VvwRRzQcDprObjXd,19440318
j1eSrtTGv0lNjzBU,28508866
UboKsiWuyCQXXIsA,3979658
R3LK3b1cYHJDoS7T,1130890
ii5gSN8z6AOorjQs,7661941
iFtImxGUUlXbkD9b,9887170
W4cY4JyAXjYXY1tF,26001918
HM9qAA76VLEkoqyU,16369921
fX3cUCjz6wSjn6N5,1755069
U7whXhR0NtRb2VTK,5065586
VP1NDCBMrjip2Bnd,8765764
SOZVhFbbbVloA5qP,676173
pJS9qvsg4qskb1P9,30222068
Rfg7BpDZLZd445AX,1428829
