building_id,total_price
X5gsdTWGS3W7JJQB,1440
BTshNOJyKHnT2YIT,2154
dhdymr0lV8N5kZOT,2066
VEwyGGMcD56w5BOc,58132
wmUeMoJZfsqaSX9b,1726
EtBjGAHmHCe9t7TZ,1530
hPNH34vmaZtvBtqc,8866
wXjeI38bYDMJJwZC,2623
fxZSGX6aPAFKU8W4,1061
ewr0Fx6ign87OwaV,8585
gHKurnEP4AowzsLg,5787
PmLfTgY2FElLrTl0,1602
eM2NppIOwzW0o8iy,15214
dxxwNun97NH4WTrZ,549
jykBfhh3vdeFUi3H,2150
NlXbvdFfmJZf3L18,19912
D7jaFWHCzSqLBwdt,4711
L10dBBdqGmemweSl,12862
OgB0AdiPKlElakKN,5759
StiWNN1GQrpPBOYt,7927
a016eMAVQKnfwMnt,1033
gsCFcQHnOH3AKMcZ,2467
IbNsDXfsPwSuFpow,4696
EgAVWOVxD1Jy5YkE,1854
BrKghvR76XdbQPnx,19266
a7fxkXTnUGWHUmKG,1731
WgzXa170DfpzpURE,1442
JPWqZbLq0VNC0yKI,72091
JQgTtbVstqFZwEK1,1308
bCSDbEthlS3nSIor,971
Eg8c7ZRbL0gyAEAb,755
zsFOujpX1WUIkeMD,827
jEvQfHD89c14eFJj,4759
bU45TrRjtoRJpiOl,533
YLKpsew5dW75vksT,33539
hZ1FFAGWfwM7Q5qr,514
uAE5aaysJhyG8lRW,1279
qxNpqoav46ab8aX0,5316
tw5gw9arRECzmh5o,2247
yn4pyBYVb1GcpQ1T,10064
bE4xwsO642wMGDiH,42799
aahqDoaTCZYPUnYs,3680
YV43AlJLyiYsBy7N,14280
XUoZvwp3G5Uqr6es,2355
xtfOOyS24DmebcrG,6446
kHySzvJu1pAOGGr8,5054
SJLj6Ars5P1fN8uS,67057
R9A8BJ65VWVztrwJ,1577
CVz3pN9nF05lPP5u,778
vvgK6NlGq4dXvuOQ,1049
C1h2FivTfEeJpv15,61841
N2z4leXPR8YG1qOe,3399
sag3ekvoyZCZgkfV,2468
Uk5ex47eeWALNICk,3889
vAl9UtIB6CJkKDqG,26408
hnYkYGw5QAKE4mKe,3660
dGDaCQGvz1JFUpFs,279
O5Hw3gWy8trecv9H,21889
tMEj7u0YNW1xuLxf,75
rcPOpyDivowJQm5A,104
FB5zv79bd6nHV1It,1452
SjqLJfNVstz2Vt0Z,19214
uv27X0eFKdbSphM7,1829
yVbxVL3euuIqmo7V,2897
VvwRRzQcDprObjXd,5713
j1eSrtTGv0lNjzBU,66840
UboKsiWuyCQXXIsA,3808
R3LK3b1cYHJDoS7T,1820
ii5gSN8z6AOorjQs,2762
iFtImxGUUlXbkD9b,7013
W4cY4JyAXjYXY1tF,34312
HM9qAA76VLEkoqyU,5360
fX3cUCjz6wSjn6N5,1944
U7whXhR0NtRb2VTK,1241
VP1NDCBMrjip2Bnd,1486
SOZVhFbbbVloA5qP,4034
pJS9qvsg4qskb1P9,12878
Rfg7BpDZLZd445AX,6359
olfnSSZRvyQuIxaI,54303
x61xqhi8kwd9xmmN,1813
ejGoSLE9isKffLmw,10356
Vx7bSFwMnNMCx9oB,1286
S9TXbscnO5DoawSU,3494
WdVARdRcN8x7AK1d,1102
pStv2kkxELhBBK2G,4848
LPJuTqqcd2bQpaQk,12158
CjKHQBAnor8AP2eB,2237
PIo9FQYkpDvE32Cw,1866
Q8dFQs5lhVAiEJTE,4712
GVWNfdARZFl4J5Wx,5089
yfvg6l0mtujabRT0,23055
PVAuCtLbP23qr2zL,1818
iwJrgniIhfPTCTmt,754
tvGpSGlGKclWmFYm,5673
Ak8AvJmjEw3jSzPD,3764
z2CovcitJJmVZFvU,2690
XCs3JK6zTfApKRQq,4616
ycrEEXCVOZ2VFtDj,1119
MheS1bq7OcDGJ05M,1098
pAlE5srDfK8zDu8o,51618
ObAaFE67g31BlRpo,28479
uX03fWvPUQI1k24X,14297
qYtmXmJZcCxsYR16,3880
xOpEoO94sMg0pmgK,4944
WOqQh2t52P3sHypx,1452
zSOQn8ONXwfK1YMz,2559
wErmbQpjJ0KXYt3g,3496
PZkZQcO1joCaJu4m,1420
qQsKdbjFMUCiKncB,109707
VGsTcb8wMZWT5UjC,1184
kzk36KgPb6OHgRGQ,7117
wv16qReSoCwACjGq,35990
CqnauNV66YHe1gks,1744
oEXDouE9eVB5K8T0,726
lQtwWVt7IM3E2gLv,26988
C1tDWNNe6GWNzjxF,2742
hPQk6g6q96fEA6qf,9978
z8DrddTDmE9edR3g,4267
HUJHDhbsEKjDU375,4848
HCvpwrAaIz1gj9vB,6271
uxdQDOZMTkgMXF87,31120
E0gBmfDjtixwUA0k,1734
IkZq7qHsY3vSSwcR,571
WR60rAEhGqmpGGPQ,1087
QNiCWRVsm0DOcqkc,1612
qFavghdEze2w15he,3794
sZl3Xo0wUvZqHF95,10915
u1ABCsLuOqw7xeSg,32355
JrPbCAZvRUc1oIqh,12849
yn5Kp6YGrksLtWaR,445
sDbbvPTKNYvnkBEP,6983
QgT6Z9Min017dB2H,1663
WKx1rO3DeALb6HGl,9053
ByxhTXwxWIzViLVM,1580
yXEw1aQQMhSrxqSR,3505
slnIW7o6rSjiHBTo,2944
TS475FK6SbqORxRf,4972
cnK6gMaFxsDO9UyT,847
MrPuFIhhBsGLWG6j,2064
z5r0q3mS6g4AdXmz,37360
Xsn2nvFborqzWEDy,2906
Eg79yeZBAFgZzKmd,8965
hXBEiDoNgbjADWN3,3286
qLDW5vb8gODBBvrP,5642
ZdlblPDUtFcPzPVG,1416
JQjuVCoV1cMPIlE8,1742
kEXBTA7suwUCFuDy,9840
aCNZPpPNGfirFbiq,4122
YBDD94i8AhJFvNTX,8746
q7uATN6vpk4oQd7Z,913
gguJ9pV2OYi3Jk0q,1988
QTSwKBCSHsVJ98Qs,5477
xBjTFMnuysBHgGwy,570
ZifOqSywxPB5pOc9,3666
fKmpn4H3GLyD2PUy,6132
h2nph9dHHWa0J6fb,599
ZmcP061oB7pLvwWI,5204
HhAGxXznlCCHBLRq,2523
WairBGJvbWqBhyfr,3842
am6VBxbgo9B6nEi2,38192
T30SXsl2ZVCbhIf2,30380
Az6W8JkPtYh5UXJH,4969
TP3o1eIQ3EkvnejY,30027
APeCKSkTyUA17R6k,6290
R02iMiEZkmsiwn0U,363
RxGjrcrzYj63KzlM,1220
dfGXvK2a8KfinpeH,2324
ORobsxUS7gfK0bX4,21439
AzPpJz3T62VmkxrS,7074
DFfBG3ipPRPVprt3,1318
zYZ4mFDXFj8NoiHT,1187
MwV3Ve3wqFjXXIEQ,148455
YGvFSY3UbKzqUWsu,13473
EgApP0wpkfO5czAT,3810
yaEMimjW6RuytmdP,2838
swYl8YGXondenmoZ,1958
QQrkTCqzHS3JKGyi,2491
rTcCpOJ38Pl9tt1E,9332
F0aeIVKrnkIbAl5D,24520
fV9iRaOCYqJqr9SS,846
