building_id,total_price
X5gsdTWGS3W7JJQB,0
BTshNOJyKHnT2YIT,0
dhdymr0lV8N5kZOT,1
VEwyGGMcD56w5BOc,368
wmUeMoJZfsqaSX9b,0
EtBjGAHmHCe9t7TZ,0
hPNH34vmaZtvBtqc,1894
wXjeI38bYDMJJwZC,12
fxZSGX6aPAFKU8W4,0
ewr0Fx6ign87OwaV,81
gHKurnEP4AowzsLg,0
PmLfTgY2FElLrTl0,173
eM2NppIOwzW0o8iy,1
dxxwNun97NH4WTrZ,0
jykBfhh3vdeFUi3H,0
NlXbvdFfmJZf3L18,657
D7jaFWHCzSqLBwdt,0
L10dBBdqGmemweSl,0
OgB0AdiPKlElakKN,6
StiWNN1GQrpPBOYt,4
a016eMAVQKnfwMnt,35
gsCFcQHnOH3AKMcZ,8
IbNsDXfsPwSuFpow,242
EgAVWOVxD1Jy5YkE,0
BrKghvR76XdbQPnx,1
a7fxkXTnUGWHUmKG,0
WgzXa170DfpzpURE,25
JPWqZbLq0VNC0yKI,4921
JQgTtbVstqFZwEK1,0
bCSDbEthlS3nSIor,0
Eg8c7ZRbL0gyAEAb,0
zsFOujpX1WUIkeMD,0
jEvQfHD89c14eFJj,0
bU45TrRjtoRJpiOl,6
YLKpsew5dW75vksT,9
hZ1FFAGWfwM7Q5qr,0
uAE5aaysJhyG8lRW,1
qxNpqoav46ab8aX0,7
tw5gw9arRECzmh5o,1
yn4pyBYVb1GcpQ1T,3
bE4xwsO642wMGDiH,867026
aahqDoaTCZYPUnYs,5
YV43AlJLyiYsBy7N,113
XUoZvwp3G5Uqr6es,10
xtfOOyS24DmebcrG,0
kHySzvJu1pAOGGr8,40
SJLj6Ars5P1fN8uS,164
R9A8BJ65VWVztrwJ,0
CVz3pN9nF05lPP5u,0
vvgK6NlGq4dXvuOQ,0
C1h2FivTfEeJpv15,498
N2z4leXPR8YG1qOe,2
sag3ekvoyZCZgkfV,75
Uk5ex47eeWALNICk,4
vAl9UtIB6CJkKDqG,1201
hnYkYGw5QAKE4mKe,3
dGDaCQGvz1JFUpFs,1
O5Hw3gWy8trecv9H,332
tMEj7u0YNW1xuLxf,0
rcPOpyDivowJQm5A,0
FB5zv79bd6nHV1It,0
SjqLJfNVstz2Vt0Z,3
uv27X0eFKdbSphM7,20
yVbxVL3euuIqmo7V,211
VvwRRzQcDprObjXd,1422
j1eSrtTGv0lNjzBU,226
UboKsiWuyCQXXIsA,38
R3LK3b1cYHJDoS7T,4
ii5gSN8z6AOorjQs,9
iFtImxGUUlXbkD9b,0
W4cY4JyAXjYXY1tF,1621
HM9qAA76VLEkoqyU,7
fX3cUCjz6wSjn6N5,42
U7whXhR0NtRb2VTK,0
VP1NDCBMrjip2Bnd,0
SOZVhFbbbVloA5qP,0
pJS9qvsg4qskb1P9,60
Rfg7BpDZLZd445AX,0
olfnSSZRvyQuIxaI,211
x61xqhi8kwd9xmmN,2
ejGoSLE9isKffLmw,204
Vx7bSFwMnNMCx9oB,0
S9TXbscnO5DoawSU,0
WdVARdRcN8x7AK1d,0
pStv2kkxELhBBK2G,30
LPJuTqqcd2bQpaQk,11
CjKHQBAnor8AP2eB,2
PIo9FQYkpDvE32Cw,0
Q8dFQs5lhVAiEJTE,74
GVWNfdARZFl4J5Wx,3
yfvg6l0mtujabRT0,4
PVAuCtLbP23qr2zL,1
iwJrgniIhfPTCTmt,0
tvGpSGlGKclWmFYm,9
Ak8AvJmjEw3jSzPD,0
z2CovcitJJmVZFvU,23
XCs3JK6zTfApKRQq,18
ycrEEXCVOZ2VFtDj,0
MheS1bq7OcDGJ05M,0
pAlE5srDfK8zDu8o,875
ObAaFE67g31BlRpo,4
uX03fWvPUQI1k24X,14
qYtmXmJZcCxsYR16,46
xOpEoO94sMg0pmgK,0
WOqQh2t52P3sHypx,6
zSOQn8ONXwfK1YMz,27
wErmbQpjJ0KXYt3g,0
PZkZQcO1joCaJu4m,0
qQsKdbjFMUCiKncB,10712
VGsTcb8wMZWT5UjC,33
kzk36KgPb6OHgRGQ,163
wv16qReSoCwACjGq,500
CqnauNV66YHe1gks,0
oEXDouE9eVB5K8T0,0
lQtwWVt7IM3E2gLv,325
C1tDWNNe6GWNzjxF,6
hPQk6g6q96fEA6qf,0
z8DrddTDmE9edR3g,15
HUJHDhbsEKjDU375,0
HCvpwrAaIz1gj9vB,0
uxdQDOZMTkgMXF87,608
E0gBmfDjtixwUA0k,50
IkZq7qHsY3vSSwcR,0
WR60rAEhGqmpGGPQ,3
QNiCWRVsm0DOcqkc,0
qFavghdEze2w15he,0
sZl3Xo0wUvZqHF95,1
u1ABCsLuOqw7xeSg,104
JrPbCAZvRUc1oIqh,57
yn5Kp6YGrksLtWaR,0
sDbbvPTKNYvnkBEP,9
QgT6Z9Min017dB2H,0
WKx1rO3DeALb6HGl,120
ByxhTXwxWIzViLVM,2
yXEw1aQQMhSrxqSR,0
slnIW7o6rSjiHBTo,1
TS475FK6SbqORxRf,40
cnK6gMaFxsDO9UyT,0
MrPuFIhhBsGLWG6j,0
z5r0q3mS6g4AdXmz,13
Xsn2nvFborqzWEDy,3
Eg79yeZBAFgZzKmd,14
hXBEiDoNgbjADWN3,9
qLDW5vb8gODBBvrP,16
ZdlblPDUtFcPzPVG,0
JQjuVCoV1cMPIlE8,0
kEXBTA7suwUCFuDy,14
aCNZPpPNGfirFbiq,61
YBDD94i8AhJFvNTX,12
q7uATN6vpk4oQd7Z,0
gguJ9pV2OYi3Jk0q,2
QTSwKBCSHsVJ98Qs,0
xBjTFMnuysBHgGwy,0
ZifOqSywxPB5pOc9,8
fKmpn4H3GLyD2PUy,0
h2nph9dHHWa0J6fb,0
ZmcP061oB7pLvwWI,6
HhAGxXznlCCHBLRq,0
WairBGJvbWqBhyfr,0
am6VBxbgo9B6nEi2,9372
T30SXsl2ZVCbhIf2,11
Az6W8JkPtYh5UXJH,0
TP3o1eIQ3EkvnejY,14
APeCKSkTyUA17R6k,0
R02iMiEZkmsiwn0U,0
RxGjrcrzYj63KzlM,1
dfGXvK2a8KfinpeH,92
ORobsxUS7gfK0bX4,394
AzPpJz3T62VmkxrS,0
DFfBG3ipPRPVprt3,0
zYZ4mFDXFj8NoiHT,0
MwV3Ve3wqFjXXIEQ,68725
YGvFSY3UbKzqUWsu,322
EgApP0wpkfO5czAT,645
yaEMimjW6RuytmdP,5
swYl8YGXondenmoZ,0
QQrkTCqzHS3JKGyi,0
rTcCpOJ38Pl9tt1E,3
F0aeIVKrnkIbAl5D,158
fV9iRaOCYqJqr9SS,7
ObVWj9qMlSFLTzD4,0
n1e7tlFzODL1Je5e,0
ByzgK6XH2FXj3Zc9,0
mbZY6kO9JRKSIYJZ,18
zdEOZ8rVZUIcAsnn,0
LcHRmjVTUY1d8zAr,310
GpldOFFYRWdLctvy,32
agBX2FCIatw2gl6F,0
qNtrq7aAefpIVJmz,12
nvRQHtY8IPVydFgd,9
iBVc1i0Nz2iVLRsJ,30
DBzhjFNu9v1vJeCD,0
EIxpX2lay3NyyhmD,284
LraHARJze06NLWEj,0
JaefG5EBsZ0SYwxl,3
Xkb3CuiMr2KfmhLD,12
fNFGKvxBrDUNTwAy,0
y1p1XsrgmvAxIEHf,0
wWqRMAbTZCpNO4ps,40
yFhkc4piKpQm6VYg,0
CDRQ7vsDJH1NHBQx,0
OAfBKiNWwxlng9mn,1508
OHxgQWgXCfDf6M78,16
clotOLowKmXI8QYL,4
LPaxAt9FlQWzcXKA,690
ZzotlYNcNBPq7fBB,339
PBG6hOt5APgz8rp8,175
Y5ZFW4XTOyRONMXo,49
U9zBPGFeGJoWnRNd,3
fv5UlMh1Z79JpWia,0
STMFK1u2A2DAdJoL,0
OqLnGFjpkobraVmq,0
